rank,char_trad,char_simp,count
362,便,,281584
363,干,,280495
364,乾,干,280495
365,幹,干,280495
366,試,试,280232
367,司,,279188
368,傳,传,279158
369,技,,278964
370,北,,278780
371,某,,278713
372,英,,278288
373,級,级,277180
374,哈,,276954
375,馬,马,276715
376,字,,276491
377,片,,274798
378,求,,271853
379,色,,271725
380,導,导,271336
381,識,识,271096
382,由,,270949
383,花,,270636
384,向,,270178
385,嚮,向,270178
386,包,,270090
387,黑,,269054
388,差,,268884
389,注,,267680
390,註,注,267680
391,服,,267062
392,根,,266871
393,朮,术,265557
394,術,术,265557
395,台,,264470
396,臺,台,264470
397,颱,台,264470
398,評,评,264025
399,線,线,262624
400,音,,262243
401,講,讲,261916
402,政,,261495
403,式,,261426
404,深,,260533
405,畢,毕,260000
406,條,条,259194
407,運,运,257236
408,半,,257181
409,持,,256675
410,近,,256483
411,光,,256025
412,商,,255049
413,照,,254918
414,轉,转,254589
415,指,,254317
416,樂,乐,253916
417,早,,253785
418,快,,253401
419,復,复,253016
420,複,复,253016
421,五,,252527
422,空,,252154
423,員,员,251837
424,精,,249328
425,雖,虽,248711
426,段,,248509
427,改,,246313
428,易,,246178
429,義,义,244965
430,望,,244898
431,裝,装,244846
432,案,,244822
433,據,据,244400
434,夠,够,243422
435,統,统,243372
436,決,决,241690
437,立,,241542
438,般,,241229
439,房,,238891
440,拉,,235597
441,住,,234017
442,周,,233606
443,週,周,233606
444,初,,233134
445,親,亲,231707
446,言,,231678
447,標,标,231464
448,概,,231174
449,演,,230911
450,斯,,230541
451,叫,,230285
452,往,,230132
453,存,,230065
454,將,将,229948
455,滿,满,229671
456,准,,228389
457,準,准,228389
458,節,节,228140
459,告,,227771
460,研,,226327
461,超,,225893
462,聯,联,225813
463,普,,224103
464,絕,绝,223865
465,球,,222948
466,軍,军,222655
467,優,优,222612
468,角,,222211
469,除,,221461
470,離,离,220351
471,城,,219941
472,南,,216501
473,証,证,216055
474,證,证,216055
475,錯,错,215988
476,句,,215729
477,形,,214885
478,遠,远,214854
479,隨,随,214435
480,功,,213545
481,許,许,213496
482,務,务,212832
483,費,费,212641
484,達,达,210411
485,畫,画,210389
486,卻,却,208287
487,另,,206120
488,故,,205174
489,廣,广,205130
490,造,,204104
491,腦,脑,203854
492,具,,203565
493,德,,203503
494,戲,戏,203241
495,王,,202134
496,調,调,201334
497,底,,200902
498,值,,199635
499,低,,199496
500,希,,199012
501,晚,,198701
502,熱,热,198590
503,參,参,198133
504,極,极,197610
505,未,,197220
506,眾,众,196350
507,失,,196336
508,即,,196072
509,規,规,195969
510,輕,轻,194482
511,母,,194360
512,院,,193608
513,華,华,193504
514,隊,队,193198
515,報,报,193164
516,權,权,192878
517,適,适,192871
518,班,,192359
519,備,备,191627
520,連,连,191503
521,客,,191319
522,劇,剧,190598
523,聲,声,190462
524,僅,仅,190448
525,細,细,190420
526,幫,帮,190417
527,排,,190354
528,山,,190326
529,站,,189961
530,背,,188317
531,模,,187358
532,取,,186738
533,況,况,185841
534,戶,户,185722
535,驗,验,185716
536,乎,,185687
537,領,领,185564
538,誰,谁,185429
539,寶,宝,185240
540,治,,184631
541,型,,184556
542,紅,红,184528
543,似,,184416
544,父,,184291
545,效,,182671
546,支,,182571
547,留,,182194
548,談,谈,181929
549,投,,180642
550,火,,180091
551,星,,179830
552,換,换,179609
553,爾,尔,179430
554,終,终,177852
555,甚,,176401
556,步,,176235
557,足,,176100
558,博,,175962
559,樓,楼,175836
560,消,,175779
561,顯,显,175401
562,士,,175382
563,象,,175039
564,跑,,174796
565,爸,,174419
566,拍,,173444
567,配,,172715
568,怕,,172480
569,展,,172121
570,笑,,171976
571,命,,171823
